,prelim.household,prelim.gender,hh.Pesticide,hh.SMP,hh.wealth1,base.attitudes,base.dnorms,base.innorms,base.control,base.intention,follow.event_attendance,follow.attitudes,follow.dnorms,follow.innorms,follow.control,follow.intention,final.attitudes,final.dnorms,final.innorms,final.control,final.intention,follow.pledge,follow.story,follow.hotline,final.pledge,final.story,final.hotline,agemod,Base,indeg1,avgAlt1,avgAlt2,avgAlt3,avgAlt4,avgAlt5,avgAlt6
288,67,1,0,0,5,17,6,16,10,8,1,14,9,6,9,2,12,7,13,12,8,1,0,0,0,0,0,3.190751405,1,11,7.5,9.5,7,13.75,14.75,13
289,118,1,1,0,4,NA,NA,NA,NA,NA,1,20,6,20,8,10,20,8,18,15,10,1,0,2,2,2,2,3.953757176,0,7,8.5,9.25,7,16,15.5,16.66666667
290,64,1,0,1,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.052023083,0,5,7,9.25,6,14,16,12
291,65,1,0,1,3,16,8,16,9,8,0,17,9,16,14,10,14,6,12,12,8,0,0,2,0,0,0,2.635838117,1,6,8,8,6,15,16.5,16
292,95,1,0,0,3,14,6,7,5,5,0,NA,NA,NA,NA,NA,16,7,16,6,9,NA,NA,NA,0,0,0,2.427745634,1,3,7,7.5,6.666666667,14.5,15.5,13
293,33,0,0,0,5,NA,NA,NA,NA,NA,0,14,6,10,9,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,3.329479727,0,3,8.5,9,7.333333333,14.5,16.25,15.66666667
294,93,0,1,1,5,NA,NA,NA,NA,NA,0,14,8,16,11,8,20,9,13,11,7,0,0,0,0,5,0,3.53757221,0,4,10,9.666666667,6.333333333,19,16.66666667,14.33333333
295,16,0,0,0,4,16,6,16,10,9,0,16,6,19,12,10,16,10,15,13,10,0,0,0,0,0,0,2.080924829,1,3,NA,8,6,NA,14,16
296,68,0,0,1,3,16,6,16,12,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.497109795,1,8,7.8,8.4,6,14.4,15.8,15
297,98,0,0,0,2,NA,NA,NA,NA,NA,0,15,7,15,12,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,4.161849659,0,4,NA,8.333333333,8.666666667,NA,14.33333333,17.66666667
298,8,1,0,0,5,16,8,19,15,9,1,16,8,19,15,9,NA,NA,NA,NA,NA,2,3,2,NA,NA,NA,3.052023083,1,7,8.333333333,9,8,14,15,15.33333333
299,139,1,1,0,4,NA,NA,NA,NA,NA,0,12,9,8,6,2,15,4,12,10,6,0,0,0,0,0,0,3.260115566,0,3,6.5,6,6.5,14.5,13,13
300,2,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.427745634,0,5,8,9.333333333,7,16,15.66666667,13.66666667
301,128,0,0,1,4,14,6,14,9,6,0,18,9,15,12,9,13,6,12,9,5,0,0,0,0,2,0,2.289017312,1,1,8.5,10,4,16.5,18,13
302,99,0,0,1,3,15,6,14,12,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.664739863,1,2,7,8,9,16,14.66666667,16.33333333
303,106,0,0,0,5,14,7,15,13,8,0,14,6,13,13,8,16,6,12,9,9,0,0,0,0,0,0,3.745664693,1,7,7.5,9.2,9,15.25,17.4,16.75
304,40,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.676300532,0,1,8,NA,NA,14,NA,NA
305,46,1,0,0,3,8,8,9,11,6,0,13,8,14,10,10,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,4.023121337,1,2,8.5,7.25,7.25,17.5,15.75,15
306,152,1,0,0,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.595375702,0,1,4,9.333333333,4.666666667,14,14.66666667,14.33333333
307,151,0,0,0,3,16,6,14,11,8,0,14,7,14,9,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,3.121387244,1,4,7.5,8.75,7.5,14.5,15.75,15.25
308,43,0,0,1,5,15,8,17,12,9,0,19,10,16,13,10,15,6,16,8,8,0,0,1,1,5,0,3.884393015,1,15,8,9.4,6.25,16,15.6,15.75
309,7,0,0,0,3,16,6,17,13,10,1,15,6,20,13,10,19,9,20,12,7,1,2,3,0,5,2,3.329479727,1,13,8.5,9.333333333,8,13,14.33333333,17
310,60,0,0,0,3,17,6,16,9,8,1,19,6,16,14,10,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,2.774566439,1,6,7.666666667,10,7,15,16.66666667,17
311,86,1,0,1,4,NA,NA,NA,NA,NA,0,15,5,17,10,10,17,9,19,13,10,0,0,0,0,0,0,3.260115566,0,8,6.333333333,8.75,6.666666667,13.66666667,14.75,17
312,32,1,0,0,3,14,4,10,10,4,1,16,6,16,12,10,17,8,13,10,6,1,1,1,0,5,0,3.606936371,1,10,6.5,9.25,7.75,14.5,16.25,16.5
313,79,0,0,0,3,NA,NA,NA,NA,NA,0,14,6,18,9,10,13,6,14,7,2,0,0,0,0,0,0,2.427745634,0,10,6.5,7.333333333,6,14.5,15,15
314,82,1,0,0,5,NA,NA,NA,NA,NA,0,15,6,10,9,6,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,1.595375702,0,3,8,9,8,14,14,14.5
315,132,1,0,0,4,NA,NA,NA,NA,NA,0,15,6,15,10,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.011560668,0,1,4,7.5,7.25,11,15.25,16
316,44,1,1,0,4,14,7,15,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.427745634,1,2,8.5,8,6,16,16,16
317,61,1,1,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.497109795,0,5,10,NA,NA,17,NA,NA
318,82,1,0,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38728322,0,6,NA,8,8,NA,14.33333333,14.5
319,64,1,0,1,4,NA,NA,NA,NA,NA,0,17,8,13,14,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.595375702,0,3,7.333333333,9.333333333,6.333333333,14,14.66666667,12
320,35,0,0,1,3,14,7,13,9,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.705202278,1,6,NA,9,7.5,NA,17,14.5
321,40,0,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.774566439,0,3,8.5,NA,NA,15,NA,NA
322,105,1,1,0,6,NA,NA,NA,NA,NA,0,16,4,10,13,6,14,6,11,9,6,0,0,0,0,0,0,2.566473956,0,2,NA,8.666666667,NA,NA,16.66666667,NA
323,28,1,0,1,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.317919059,0,4,9.5,9.333333333,8.75,17,16,16.75
324,27,1,1,0,4,NA,NA,NA,NA,NA,0,15,6,13,10,8,15,5,14,10,6,0,0,2,0,0,0,1.664739863,0,5,8.5,9.166666667,8.75,15,16.16666667,17.5
325,28,0,0,1,4,NA,NA,NA,NA,NA,0,17,8,16,12,9,19,8,16,11,10,0,0,0,0,0,0,1.456647381,0,7,9,9,7.666666667,16.66666667,15.33333333,17.66666667
326,23,1,0,1,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.664739863,0,3,7,8.8,7.6,14.66666667,15.6,17
327,9,0,1,0,2,NA,NA,NA,NA,NA,0,14,6,13,6,9,15,8,14,10,8,0,0,0,0,4,0,1.248554898,0,4,10,9.25,7.25,16,15.5,16
328,9,0,1,0,2,NA,NA,NA,NA,NA,0,14,5,11,10,9,15,5,14,9,7,0,0,0,0,1,0,1.456647381,0,5,8.5,8.714285714,7.833333333,13,14.71428571,15.33333333
329,9,1,1,0,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.317919059,0,5,NA,9,7.666666667,NA,15.33333333,15.33333333
330,19,1,1,0,4,19,7,14,13,9,0,16,5,17,13,10,NA,NA,NA,NA,NA,0,0,3,NA,NA,NA,1.803468185,1,2,9,9.2,9,17,16.2,17
331,62,0,0,1,2,NA,NA,NA,NA,NA,0,14,8,16,11,8,15,7,15,12,9,0,0,1,0,0,0,1.248554898,0,6,8,8.5,10,14,14.5,18
332,108,0,1,0,4,17,6,17,12,9,0,17,8,17,12,8,17,6,16,12,7,0,0,0,0,0,0,1.664739863,1,1,8,8.333333333,9,15,15,15.66666667
333,5,0,0,0,4,NA,NA,NA,NA,NA,0,17,7,15,12,8,13,6,12,9,7,0,0,0,0,1,1,1.664739863,0,5,7.5,8.8,8,17,15.8,16.5
334,17,0,0,1,4,NA,NA,NA,NA,NA,0,14,7,13,12,8,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,1.803468185,0,6,10,8.75,7,16,16.5,16.33333333
335,127,0,1,0,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.595375702,0,7,6.25,7,6.5,14.75,15.4,15
336,56,1,0,0,3,16,6,16,9,8,0,17,6,14,12,9,17,6,15,12,7,0,0,0,0,0,0,2.080924829,1,6,7.333333333,9,7.5,13.33333333,15.25,13.5
337,5,1,0,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456647381,0,4,8.75,9,7.8,16.25,16.11111111,15.2
338,49,1,0,1,4,NA,NA,NA,NA,NA,1,17,5,16,11,9,18,6,14,12,7,2,4,2,1,5,2,3.398843888,0,4,8.5,8.333333333,8,15.5,16.33333333,15
339,17,1,0,1,4,NA,NA,NA,NA,NA,0,17,6,16,10,9,NA,NA,NA,NA,NA,0,5,0,NA,NA,NA,1.526011542,0,2,8,7.6,7,15,15.2,16
340,70,1,1,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,0,5,8,6.5,7,15.5,13.5,15.5
341,3,0,0,0,3,NA,NA,NA,NA,NA,0,15,6,14,13,9,14,6,14,9,7,0,0,0,0,0,0,3.468208049,0,6,8,9,8.5,17,16.5,15.5
342,145,0,0,0,3,NA,NA,NA,NA,NA,0,14,6,11,7,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.248554898,0,3,5.75,7.2,7,15,15.2,15.33333333
343,148,0,1,0,5,NA,NA,NA,NA,NA,0,14,8,13,11,8,15,9,16,9,8,0,0,0,0,0,0,1.456647381,0,5,7,8.8,6.5,17,16,14.25
344,145,0,0,0,3,14,7,12,9,4,0,13,6,9,7,4,16,7,10,10,7,0,0,0,0,0,0,2.15028899,1,4,6,7.2,7.666666667,15,15.2,15.66666667
345,150,0,1,0,4,NA,NA,NA,NA,NA,0,15,6,13,10,9,13,7,12,8,4,0,0,0,0,0,0,2.289017312,0,3,7,8,7,17,15,15
346,81,1,0,0,4,NA,NA,NA,NA,NA,0,14,6,13,14,9,15,5,12,11,6,0,0,0,0,0,0,2.289017312,0,1,NA,10,4,NA,15,15
347,115,0,0,1,4,17,7,18,12,8,0,17,6,15,11,8,17,6,14,11,8,0,0,0,0,0,2,1.872832346,1,5,7.25,7.666666667,7.5,14,14.5,16
348,110,0,0,0,5,NA,NA,NA,NA,NA,0,15,5,13,12,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.595375702,0,7,7.25,7.833333333,8.25,14.5,15.16666667,15.75
349,148,0,1,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.53757221,0,6,7,8.6,8,17,16,15.5
350,86,0,0,1,4,17,6,12,8,8,0,15,6,13,10,8,17,8,12,10,9,0,0,0,0,0,0,3.052023083,1,3,6.5,7.666666667,7.333333333,14,14,17
351,37,0,0,0,5,NA,NA,NA,NA,NA,1,17,6,11,8,8,16,6,12,9,6,2,4,2,0,5,2,3.329479727,0,6,10,8.75,7.666666667,15,14.5,14.33333333
352,98,0,0,0,2,NA,NA,NA,NA,NA,0,14,6,11,10,8,17,9,12,11,8,0,0,0,0,0,0,1.595375702,0,6,8,8.8,9.333333333,15,15.2,17.66666667
353,97,0,0,0,1,15,7,10,11,8,0,17,6,13,12,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.358381473,1,2,NA,8.333333333,8,NA,14.33333333,16.5
354,98,0,0,0,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38728322,0,4,8,8.4,8.666666667,15,15,17.66666667
355,85,0,0,1,5,NA,NA,NA,NA,NA,0,15,8,15,10,9,16,8,11,10,8,0,0,0,0,0,0,1.317919059,0,6,7,9.5,8,13.5,16.5,17.66666667
356,32,1,0,0,3,19,7,17,13,9,0,16,6,14,14,10,16,9,18,11,7,0,0,2,0,0,3,1.526011542,1,4,4,9.25,7.5,12,16.25,16.75
357,87,0,0,0,4,NA,NA,NA,NA,NA,0,17,6,16,10,10,16,6,13,12,7,0,0,0,0,0,0,2.566473956,0,7,10,9,8.666666667,16,15,16.33333333
358,41,1,1,1,4,14,5,9,6,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456647381,1,4,6.25,9,7.2,14,16.66666667,15.2
359,116,0,0,1,3,13,6,16,9,8,0,18,6,14,11,10,17,8,15,12,9,0,0,0,2,0,2,1.734104024,1,7,8,8.75,8.666666667,16,16.25,18.66666667
360,57,1,0,1,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734104024,0,2,10,8,7,16,15.5,19
361,49,0,0,1,4,13,5,18,12,8,1,14,5,16,12,8,15,6,15,12,8,0,0,0,0,0,2,3.052023083,1,8,8,8.5,7.5,14,17.5,16.5
362,109,0,0,1,4,14,6,10,12,9,0,13,6,12,11,8,16,7,12,12,9,0,0,0,1,0,0,3.121387244,1,4,8.5,8.666666667,7,15.5,16,16.5
363,37,1,0,0,5,NA,NA,NA,NA,NA,1,16,8,16,12,10,16,6,13,11,6,3,1,2,0,5,2,4.369942142,0,5,6,8.25,6.333333333,12,15.5,14.33333333
364,24,1,1,1,6,19,6,15,10,10,1,18,6,18,15,10,16,8,15,13,8,3,5,1,2,5,2,4.161849659,1,5,9.333333333,9,7.714285714,15.66666667,15.57142857,17.14285714
365,134,1,0,1,4,12,6,9,6,5,0,12,5,10,10,4,13,6,10,9,6,0,0,0,0,0,2,2.8439306,1,5,7,7,8,14.66666667,16,16
